Starting Phase 5 optimization with 10000 iterations...
Starting Phase 5: Definitive Truth Sweep...
Initial CV Fitness: 128.0 | Avg Score: 168.85
Iter 0/10000 | Best Fitness: 128.0
[637] New Global Best! Fitness: 136.74 | Avg: 168.54 | Temp: 9363
[639] New Global Best! Fitness: 133.5 | Avg: 162.46 | Temp: 9361
[643] New Global Best! Fitness: 138.92 | Avg: 170.12 | Temp: 9357
[647] New Global Best! Fitness: 133.26 | Avg: 163.19 | Temp: 9353
[652] New Global Best! Fitness: 139.71 | Avg: 171.27 | Temp: 9348
[661] New Global Best! Fitness: 133.56 | Avg: 163.62 | Temp: 9339
[663] New Global Best! Fitness: 136.79 | Avg: 168.65 | Temp: 9337
[667] New Global Best! Fitness: 136.8 | Avg: 167.77 | Temp: 9333
[673] New Global Best! Fitness: 135.39 | Avg: 166.42 | Temp: 9327
[678] New Global Best! Fitness: 123.23 | Avg: 154.65 | Temp: 9322
[680] New Global Best! Fitness: 123.36 | Avg: 149.65 | Temp: 9320
[682] New Global Best! Fitness: 121.2 | Avg: 151.27 | Temp: 9318
[683] New Global Best! Fitness: 132.73 | Avg: 160.77 | Temp: 9317
[690] New Global Best! Fitness: 136.94 | Avg: 167.58 | Temp: 9310
[692] New Global Best! Fitness: 138.25 | Avg: 168.38 | Temp: 9308
[695] New Global Best! Fitness: 131.1 | Avg: 160.38 | Temp: 9305
[696] New Global Best! Fitness: 131.31 | Avg: 161.46 | Temp: 9304
[699] New Global Best! Fitness: 134.03 | Avg: 164.04 | Temp: 9301
Iter 700/10000 | Best Fitness: 134.03
[711] New Global Best! Fitness: 129.34 | Avg: 160.12 | Temp: 9289
[714] New Global Best! Fitness: 120.16 | Avg: 151.5 | Temp: 9286
[715] New Global Best! Fitness: 122.47 | Avg: 154.27 | Temp: 9285
[717] New Global Best! Fitness: 124.71 | Avg: 156.35 | Temp: 9283
[718] New Global Best! Fitness: 133.68 | Avg: 165.85 | Temp: 9282
[719] New Global Best! Fitness: 138.84 | Avg: 170.08 | Temp: 9281
[734] New Global Best! Fitness: 142.92 | Avg: 175.88 | Temp: 9266
[737] New Global Best! Fitness: 142.37 | Avg: 174.35 | Temp: 9263
[747] New Global Best! Fitness: 127.47 | Avg: 157.92 | Temp: 9253
[749] New Global Best! Fitness: 142.89 | Avg: 175.35 | Temp: 9251
[753] New Global Best! Fitness: 138.64 | Avg: 168.81 | Temp: 9247
[755] New Global Best! Fitness: 146.16 | Avg: 178.38 | Temp: 9245
[767] New Global Best! Fitness: 121.97 | Avg: 154.0 | Temp: 9233
[768] New Global Best! Fitness: 127.11 | Avg: 157.77 | Temp: 9232
[772] New Global Best! Fitness: 127.24 | Avg: 159.27 | Temp: 9228
[773] New Global Best! Fitness: 143.94 | Avg: 175.65 | Temp: 9227
[777] New Global Best! Fitness: 128.97 | Avg: 157.19 | Temp: 9223
[782] New Global Best! Fitness: 138.12 | Avg: 169.04 | Temp: 9218
[783] New Global Best! Fitness: 139.22 | Avg: 169.85 | Temp: 9217
[786] New Global Best! Fitness: 140.85 | Avg: 172.5 | Temp: 9214
[789] New Global Best! Fitness: 124.35 | Avg: 155.81 | Temp: 9211
[792] New Global Best! Fitness: 127.41 | Avg: 158.92 | Temp: 9208
[793] New Global Best! Fitness: 132.42 | Avg: 163.27 | Temp: 9207
[796] New Global Best! Fitness: 147.35 | Avg: 179.08 | Temp: 9204
[800] New Global Best! Fitness: 128.49 | Avg: 160.27 | Temp: 9200
Iter 800/10000 | Best Fitness: 128.49
[801] New Global Best! Fitness: 137.3 | Avg: 172.23 | Temp: 9199
[808] New Global Best! Fitness: 138.76 | Avg: 171.65 | Temp: 9192
[813] New Global Best! Fitness: 143.05 | Avg: 178.0 | Temp: 9187
[816] New Global Best! Fitness: 139.88 | Avg: 173.12 | Temp: 9184
[820] New Global Best! Fitness: 141.28 | Avg: 174.04 | Temp: 9180
[826] New Global Best! Fitness: 134.75 | Avg: 167.38 | Temp: 9174
