Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,SOS,Momentum,Intuition
Columbia,,110.0,,,,70.0,0.541,,15.3,,51.7,-3.72,,0.0
Connecticut,,123.3,,,,66.0,0.569,,12.3,,56.3,8.7,,0.0
nan,,,,,,,,,,,,,,0.0
Coppin State,,85.1,,,,67.4,0.421,,20.1,,43.5,-6.49,,0.0
Cornell,,114.2,,,,71.9,0.572,,15.0,,49.9,-1.59,,0.0
Creighton,,116.2,,,,67.6,0.573,,13.7,,53.1,9.53,,0.0
Dartmouth,,93.3,,,,66.3,0.477,,17.3,,48.9,-1.31,,0.0
Davidson,,104.7,,,,65.9,0.496,,13.9,,49.6,3.3,,0.0
Dayton,,114.1,,,,64.8,0.563,,14.3,,50.6,5.73,,0.0
Delaware,,107.8,,,,67.7,0.524,,14.0,,50.9,-4.3,,0.0
Delaware State,,98.7,,,,70.2,0.474,,17.8,,51.6,-7.58,,0.0
Denver,,111.9,,,,71.1,0.52,,12.1,,49.2,-4.82,,0.0
DePaul,,94.7,,,,68.4,0.481,,18.0,,44.9,10.8,,0.0
Detroit Mercy,,96.2,,,,68.0,0.473,,17.1,,44.6,-2.62,,0.0
Drake,,113.9,,,,68.4,0.549,,12.3,,51.2,1.84,,0.0
Drexel,,110.4,,,,65.7,0.514,,13.8,,55.6,-3.64,,0.0
Duke,,117.1,,,,67.1,0.546,,12.4,,53.7,8.36,,0.0
Duquesne,,105.5,,,,66.9,0.503,,15.1,,50.4,4.68,,0.0
East Carolina,,104.5,,,,65.8,0.479,,13.9,,50.3,1.32,,0.0
East Tennessee State,,103.5,,,,68.8,0.47,,14.9,,51.8,-2.74,,0.0
East Texas A&M,,100.8,,,,68.7,0.487,,14.5,,45.6,-5.19,,0.0
Eastern Illinois,,101.0,,,,68.2,0.467,,13.1,,49.9,-6.5,,0.0
Eastern Kentucky,,112.0,,,,71.8,0.521,,13.4,,52.3,-4.49,,0.0
nan,,,,,,,,,,,,,,0.0
Eastern Michigan,,98.3,,,,66.4,0.478,,15.0,,48.6,-5.07,,0.0
Eastern Washington,,113.6,,,,70.9,0.578,,16.7,,51.8,-2.99,,0.0
Elon,,107.5,,,,68.0,0.52,,15.1,,49.0,-5.46,,0.0
Evansville,,101.1,,,,69.6,0.506,,14.9,,48.6,0.75,,0.0
Fairfield,,109.6,,,,68.9,0.523,,13.5,,48.8,-6.53,,0.0
FDU,,102.4,,,,73.6,0.486,,14.9,,48.3,-9.27,,0.0
