Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,SOS,Momentum,Intuition
Lehigh,,95.0,,,,71.3,0.471,,16.1,,-4.58,,0.0
Liberty,,114.6,,,,64.9,0.58,,13.9,,-6.14,,0.0
Lipscomb,,103.7,,,,68.4,0.527,,15.8,,-5.63,,0.0
Little Rock,,100.2,,,,67.9,0.508,,19.2,,-5.4,,0.0
Long Beach State,,96.7,,,,74.2,0.506,,18.9,,-2.83,,0.0
nan,,,,,,,,,,,,,0.0
Long Island University,,99.3,,,,74.5,0.473,,16.3,,-8.82,,0.0
Longwood,,99.8,,,,66.3,0.499,,17.3,,-6.4,,0.0
Louisiana,,102.2,,,,72.1,0.501,,17.5,,-5.5,,0.0
Louisiana State,,112.1,,,,72.6,0.523,,13.5,,9.14,,0.0
Louisiana Tech,,103.5,,,,70.6,0.509,,15.9,,-0.21,,0.0
Louisiana-Monroe,,94.5,,,,67.7,0.482,,17.1,,-5.9,,0.0
Louisville,,102.3,,,,66.0,0.478,,14.8,,8.9,,0.0
Loyola (IL),,110.5,,,,63.8,0.567,,16.4,,1.37,,0.0
Loyola (MD),,100.9,,,,68.4,0.511,,17.5,,-3.47,,0.0
Loyola Marymount,,101.9,,,,67.8,0.517,,20.4,,4.05,,0.0
Maine,,81.2,,,,65.4,0.451,,22.4,,-4.21,,0.0
Manhattan,,91.0,,,,67.6,0.426,,17.5,,-8.35,,0.0
Marist,,93.9,,,,66.7,0.491,,19.1,,-8.8,,0.0
Marquette,,101.6,,,,68.4,0.506,,18.3,,8.58,,0.0
Marshall,,108.7,,,,73.1,0.548,,14.6,,-1.66,,0.0
Maryland,,104.4,,,,65.9,0.538,,15.3,,11.97,,0.0
Maryland-Baltimore County,,101.2,,,,68.7,0.503,,16.7,,-5.7,,0.0
Massachusetts,,103.5,,,,72.3,0.5,,14.5,,1.03,,0.0
Massachusetts-Lowell,,98.9,,,,69.3,0.512,,18.6,,-3.61,,0.0
McNeese State,,109.5,,,,73.3,0.563,,17.8,,-11.46,,0.0
nan,,,,,,,,,,,,,0.0
Memphis,,100.5,,,,72.0,0.509,,18.5,,4.13,,0.0
Mercer,,107.6,,,,70.1,0.551,,16.1,,-1.6,,0.0
Merrimack,,96.8,,,,68.0,0.514,,18.1,,-8.67,,0.0
Miami (FL),,97.2,,,,68.0,0.474,,16.2,,7.75,,0.0
Miami (OH),,106.7,,,,67.4,0.509,,13.9,,-2.72,,0.0
Michigan,,111.3,,,,67.8,0.547,,14.7,,11.25,,0.0
Michigan State,,100.3,,,,68.9,0.481,,16.2,,11.48,,0.0
Middle Tennessee,,88.7,,,,69.9,0.451,,18.9,,-0.78,,0.0
Milwaukee,,103.9,,,,71.1,0.495,,13.5,,-6.98,,0.0
Minnesota,,101.2,,,,70.7,0.45,,13.3,,11.73,,0.0
Mississippi,,101.8,,,,67.3,0.487,,17.5,,6.0,,0.0
Mississippi State,,101.6,,,,67.2,0.502,,18.7,,6.79,,0.0
Mississippi Valley State,,76.9,,,,73.9,0.436,,22.2,,-7.63,,0.0
Missouri,,103.3,,,,70.4,0.508,,16.4,,10.87,,0.0
Missouri State,,106.9,,,,68.7,0.546,,16.6,,-0.02,,0.0
Monmouth,,100.3,,,,74.5,0.485,,15.6,,-7.63,,0.0
Montana,,102.7,,,,68.0,0.511,,17.3,,-1.57,,0.0
Montana State,,104.1,,,,70.0,0.506,,15.7,,-4.62,,0.0
Morehead State,,101.6,,,,67.1,0.525,,19.8,,-4.33,,0.0
Morgan State,,105.1,,,,75.9,0.499,,17.5,,-11.24,,0.0
nan,,,,,,,,,,,,,0.0
Mount St. Mary's,,98.0,,,,63.8,0.486,,17.3,,-6.67,,0.0
Murray State,,109.6,,,,69.4,0.567,,16.9,,-8.2,,0.0
Navy,,104.9,,,,67.2,0.5,,15.6,,-3.48,,0.0
NC State,,106.2,,,,68.2,0.529,,16.4,,6.48,,0.0
Nebraska,,95.4,,,,73.0,0.489,,17.1,,12.28,,0.0
Nevada,,105.1,,,,70.1,0.517,,16.2,,2.12,,0.0
Nevada-Las Vegas,,103.9,,,,66.8,0.516,,16.2,,1.01,,0.0
New Hampshire,,98.7,,,,67.7,0.46,,13.9,,-6.7,,0.0
New Mexico,,93.2,,,,69.2,0.453,,17.9,,-1.73,,0.0
New Mexico State,,106.9,,,,66.5,0.501,,15.5,,-5.09,,0.0
New Orleans,,101.1,,,,74.4,0.523,,19.8,,-9.74,,0.0
Niagara,,98.5,,,,65.6,0.466,,13.5,,-6.99,,0.0
Nicholls State,,104.4,,,,74.4,0.516,,15.2,,-8.71,,0.0
NJIT,,95.8,,,,68.1,0.459,,14.4,,-5.7,,0.0
Norfolk State,,101.7,,,,72.0,0.492,,15.6,,-8.51,,0.0
North Alabama,,101.6,,,,71.3,0.494,,16.7,,-6.3,,0.0
North Carolina,,104.8,,,,71.8,0.483,,16.6,,9.52,,0.0
North Carolina A&T,,96.6,,,,74.3,0.475,,16.4,,-8.06,,0.0
North Carolina Central,,95.7,,,,69.7,0.481,,18.3,,-8.76,,0.0
North Dakota,,98.2,,,,69.0,0.494,,16.7,,-3.35,,0.0
nan,,,,,,,,,,,,,0.0
North Dakota State,,104.3,,,,66.6,0.504,,16.4,,-2.72,,0.0
North Florida,,101.5,,,,68.6,0.534,,19.3,,-4.62,,0.0
North Texas,,106.1,,,,65.2,0.544,,17.4,,1.02,,0.0
Northeastern,,97.7,,,,68.4,0.515,,18.0,,0.02,,0.0
Northern Arizona,,96.2,,,,65.3,0.48,,15.9,,-1.61,,0.0
Northern Colorado,,101.1,,,,69.4,0.531,,18.1,,-4.22,,0.0
Northern Illinois,,91.8,,,,67.4,0.444,,17.0,,-2.8,,0.0
Northern Iowa,,99.9,,,,68.9,0.507,,16.6,,2.43,,0.0
Northern Kentucky,,106.2,,,,66.2,0.506,,15.7,,-6.9,,0.0
Northwestern,,100.3,,,,69.3,0.505,,15.2,,11.76,,0.0
Northwestern State,,98.1,,,,73.4,0.489,,17.0,,-4.94,,0.0
Notre Dame,,107.9,,,,67.4,0.539,,14.2,,9.38,,0.0
Oakland,,102.4,,,,70.6,0.487,,15.4,,-2.8,,0.0
Ohio,,110.6,,,,71.6,0.548,,14.8,,-0.57,,0.0
Ohio State,,112.7,,,,67.6,0.529,,13.5,,12.19,,0.0
Oklahoma,,106.2,,,,69.2,0.508,,13.7,,8.86,,0.0
Oklahoma State,,102.7,,,,73.0,0.512,,18.2,,9.78,,0.0
Old Dominion,,99.7,,,,68.2,0.491,,16.2,,-0.87,,0.0
Omaha,,93.3,,,,72.2,0.463,,16.1,,-2.09,,0.0
Oral Roberts,,109.7,,,,73.6,0.539,,13.9,,-0.04,,0.0
nan,,,,,,,,,,,,,0.0
Oregon,,109.9,,,,68.2,0.542,,14.7,,9.65,,0.0
Oregon State,,105.7,,,,66.2,0.498,,15.1,,10.82,,0.0
Pacific,,99.0,,,,69.1,0.481,,14.8,,5.23,,0.0
Penn State,,103.3,,,,69.7,0.479,,13.9,,13.89,,0.0
Pepperdine,,104.5,,,,72.2,0.521,,16.1,,5.01,,0.0
