Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition
Hartford,,,,,,,0.47,,18.8,,45.1,27.3,0.474,0.282,-2.93,0,0,0,0,0,0,0.0,0.0
Harvard,,,,,,,0.527,,19.2,,47.4,22.7,0.34,0.422,-6.05,0,0,0,0,0,0,0.0,0.0
Hawaii,,,,,,,0.458,,20.2,,53.3,39.3,0.241,0.448,-1.34,0,0,0,0,0,0,0.0,0.0
High Point,,,,,,,0.476,,19.9,,52.3,40.1,0.329,0.273,-5.89,0,0,0,0,0,0,0.0,0.0
Hofstra,,,,,,,0.442,,18.2,,53.5,48.7,0.31,0.382,-2.9,0,0,0,0,0,0,0.0,0.0
Holy Cross,,,,,,,0.472,,20.0,,55.2,43.6,0.271,0.372,-5.91,0,0,0,0,0,0,0.0,0.0
Houston,,,,,,,0.47,,11.8,,48.8,41.9,0.29,0.365,1.29,0,0,0,0,0,0,0.0,0.0
Houston Christian,,94.1,,,,72.3,0.471,,18.8,,45.3,28.9,0.405,0.318,,0,0,0,0,0,0,0.0,0.0
Howard,,,,,,,0.472,,20.9,,45.4,28.3,0.338,0.408,-6.58,0,0,0,0,0,0,0.0,0.0
Idaho,,,,,,,0.516,,16.9,,47.2,30.8,0.319,0.409,-0.15,0,0,0,0,0,0,0.0,0.0
Idaho State,,100.8,,,,63.1,0.5,,17.6,,49.7,31.0,0.236,0.381,0.17,0,0,0,0,0,0,0.0,0.0
Illinois,,,,,,,0.511,,16.9,,49.9,32.1,0.288,0.225,6.73,0,0,0,0,0,0,0.0,0.0
Illinois State,,,,,,,0.521,,16.4,,53.4,38.5,0.414,0.342,1.52,0,0,0,0,0,0,0.0,0.0
Illinois-Chicago,,,,,,,0.466,,16.5,,52.2,39.8,0.308,0.325,0.02,0,0,0,0,0,0,0.0,0.0
Indiana,,,,,,,0.485,,23.1,,49.6,31.4,0.325,0.379,8.98,0,0,0,0,0,0,0.0,0.0
Indiana State,,,,,,,0.484,,19.1,,47.7,31.1,0.423,0.36,2.04,0,0,0,0,0,0,0.0,0.0
Iona,,,,,,,0.47,,20.5,,50.4,33.2,0.34,0.475,-2.37,0,0,0,0,0,0,0.0,0.0
Iowa,,,,,,,0.53,,19.0,,49.6,25.0,0.483,0.338,6.84,0,0,0,0,0,0,0.0,0.0
Iowa State,,,,,,,0.5,,16.5,,48.8,24.9,0.394,0.283,5.68,0,0,0,0,0,0,0.0,0.0
