Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8_level_1,W,L,Unnamed: 11_level_1,W,L,Unnamed: 14_level_1,W,L,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
72,Drake NCAA,35,31,4,.886,9.60,1.27,,17,3,,14,2,,10,1,,2444,2062,,60.2,114.0,.423,.366,.578,54.9,56.0,14.6,8.5,.547,15.5,35.5,.296
73,Drexel,33,18,15,.545,-3.64,-5.61,,9,9,,8,6,,7,7,,2322,2207,,64.2,107.6,.247,.372,.547,52.9,49.4,7.5,12.0,.525,15.9,33.5,.173
74,Duke NCAA,39,35,4,.897,30.72,10.26,,19,1,,17,0,,10,1,,3246,2448,,66.6,125.0,.329,.446,.613,55.2,58.6,10.1,10.9,.579,12.1,34.0,.260
75,Duquesne,32,13,19,.406,1.18,0.89,,8,10,,9,7,,2,8,,2212,2155,,65.4,104.8,.296,.428,.528,50.6,55.6,10.8,12.6,.505,15.6,33.3,.193
76,East Carolina,33,19,14,.576,-0.69,-0.82,,10,8,,12,6,,4,6,,2502,2434,,68.0,109.4,.360,.349,.530,51.7,49.8,10.9,11.8,.491,13.2,34.9,.259
77,East Tennessee State,32,19,13,.594,-1.07,-5.20,,12,6,,13,3,,6,9,,2301,2128,,66.1,108.7,.322,.414,.531,52.7,50.9,12.1,11.6,.506,13.8,35.2,.213
78,East Texas A&M,31,5,26,.161,-12.38,-1.86,,3,17,,4,10,,1,16,,1995,2321,,67.8,94.5,.280,.483,.514,45.4,61.6,12.3,10.7,.492,19.7,28.1,.180
79,Eastern Illinois,31,12,19,.387,-12.62,-5.91,,8,12,,7,7,,4,12,,2062,2140,,67.9,97.2,.338,.289,.493,49.3,47.2,13.1,9.1,.458,15.6,30.9,.229
80,Eastern Kentucky,32,18,14,.563,-3.86,-4.46,,12,6,,10,3,,7,9,,2491,2408,,68.7,111.5,.269,.425,.531,49.7,47.2,12.4,9.3,.498,11.8,34.1,.201
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
81,Eastern Michigan,32,16,16,.500,-9.21,-5.38,,9,9,,9,5,,6,10,,2355,2449,,68.3,106.8,.336,.381,.561,49.2,48.0,10.1,9.8,.526,16.5,30.1,.247
82,Eastern Washington,32,10,22,.313,-8.85,-2.11,,6,12,,8,6,,2,14,,2283,2415,,68.4,104.3,.309,.371,.555,47.3,53.4,11.0,9.0,.517,16.3,27.0,.241
83,Elon,33,17,16,.515,-4.32,-4.94,,8,10,,10,4,,6,9,,2433,2315,,66.2,110.9,.382,.423,.554,54.7,49.2,7.7,11.7,.512,15.8,37.6,.286
84,Evansville,32,11,21,.344,-6.02,0.34,,8,12,,7,9,,4,11,,2113,2263,,67.1,98.4,.304,.409,.525,47.8,53.0,8.9,13.8,.495,15.8,22.8,.212
85,Fairfield,32,12,20,.375,-14.52,-7.68,,8,12,,8,6,,3,12,,2161,2324,,66.7,100.9,.260,.379,.500,47.5,51.5,10.2,8.4,.467,13.3,29.2,.189
86,FDU,33,13,20,.394,-11.96,-8.06,,8,8,,9,5,,4,15,,2431,2415,,69.2,104.9,.331,.421,.540,47.7,52.9,9.9,7.1,.507,14.7,27.2,.235
87,Florida NCAA,40,36,4,.900,27.78,12.60,,14,4,,15,1,,7,3,,3391,2784,,70.6,120.1,.349,.437,.580,55.6,52.4,10.5,11.7,.549,13.2,38.5,.254
88,Florida A&M,31,14,17,.452,-13.37,-6.03,,10,8,,9,3,,4,13,,2235,2334,,69.3,104.1,.359,.469,.555,49.3,51.7,7.5,8.6,.521,17.4,28.6,.256
89,Florida Atlantic,34,18,16,.529,3.72,1.96,,10,8,,8,6,,6,7,,2677,2569,,69.8,111.6,.330,.408,.562,50.6,57.4,8.9,11.1,.535,14.1,31.1,.230
