Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,SOS,Momentum,Intuition
Grambling,,99.0,,,,67.0,0.488,,16.7,,-7.57,,0.0
Grand Canyon,,107.5,,,,72.5,0.509,,15.7,,-2.63,,0.0
Green Bay,,100.9,,,,69.0,0.508,,16.6,,-2.53,,0.0
Hampton,,107.8,,,,67.0,0.487,,13.4,,-4.01,,0.0
Harvard,,102.1,,,,66.7,0.508,,15.8,,-3.92,,0.0
Hawaii,,104.2,,,,66.7,0.511,,17.5,,-1.02,,0.0
High Point,,121.3,,,,67.1,0.564,,13.2,,-5.19,,0.0
Hofstra,,101.2,,,,64.9,0.5,,15.1,,-3.88,,0.0
Holy Cross,,104.3,,,,66.2,0.537,,16.1,,-7.37,,0.0
Houston,,116.2,,,,62.4,0.517,,11.8,,13.45,,0.0
Houston Christian,,101.0,,,,65.3,0.495,,15.7,,-2.97,,0.0
Howard,,107.5,,,,71.5,0.539,,18.1,,-6.88,,0.0
Idaho,,109.3,,,,67.1,0.522,,15.2,,-3.49,,0.0
Idaho State,,110.9,,,,66.7,0.492,,13.3,,-4.02,,0.0
Illinois,,114.8,,,,72.3,0.524,,13.6,,12.79,,0.0
Illinois State,,114.2,,,,66.1,0.57,,14.2,,-0.57,,0.0
nan,,,,,,,,,,,,,0.0
Illinois-Chicago,,108.2,,,,69.1,0.523,,15.0,,0.58,,0.0
Incarnate Word,,112.1,,,,65.4,0.534,,14.7,,-5.23,,0.0
Indiana,,107.7,,,,69.1,0.511,,14.4,,12.0,,0.0
Indiana State,,109.4,,,,72.4,0.551,,17.0,,-0.65,,0.0
Iona,,100.9,,,,68.6,0.475,,17.3,,-7.78,,0.0
Iowa,,115.1,,,,71.4,0.568,,12.2,,10.06,,0.0
Iowa State,,114.1,,,,69.4,0.549,,14.9,,10.33,,0.0
IU Indy,,112.0,,,,66.8,0.516,,13.1,,-4.24,,0.0
Jackson State,,100.4,,,,70.1,0.477,,16.8,,-6.24,,0.0
Jacksonville,,104.5,,,,68.7,0.502,,16.3,,-3.8,,0.0
Jacksonville State,,110.9,,,,66.0,0.511,,13.1,,0.12,,0.0
James Madison,,111.2,,,,65.9,0.516,,13.6,,-2.68,,0.0
Kansas,,108.7,,,,69.2,0.531,,14.7,,13.56,,0.0
Kansas City,,109.1,,,,66.3,0.506,,15.3,,-3.04,,0.0
Kansas State,,103.9,,,,67.9,0.506,,15.4,,9.67,,0.0
Kennesaw State,,106.1,,,,71.6,0.501,,16.1,,0.83,,0.0
Kent State,,108.2,,,,67.7,0.495,,14.5,,-2.67,,0.0
Kentucky,,116.5,,,,72.2,0.559,,13.2,,14.04,,0.0
